video_name,duration,fps,keyframes,keyframes(frames),struggle,struggle(frames)
06_03_03,66.36,50,"[2.987, 4.269, 5.507, 6.605, 8.26, 9.292, 10.741, 11.747, 12.562, 13.829, 15.363, 16.773, 18.166, 30.634, 29.185, 31.808, 33.399, 34.628, 35.828, 37.214, 38.47, 39.637, 40.727, 41.926, 43.232, 44.553, 46.305, 48.142, 49.75]","[149, 213, 275, 330, 413, 465, 537, 587, 628, 691, 768, 839, 908, 1532, 1459, 1590, 1670, 1731, 1791, 1861, 1924, 1982, 2036, 2096, 2162, 2228, 2315, 2407, 2488]","[[2.98142, 19.12726], [29.116, 50.71816]]","[[149, 956], [1456, 2536]]"
06_03_04,160.5,50,"[13.298, 14.377, 10.036, 11.069, 12.154, 15.353, 16.656, 17.859, 19.018, 20.596, 21.696, 22.85, 23.962, 25.088, 26.281, 27.44, 28.352, 29.506, 30.536, 31.474, 32.68, 33.959, 35.077, 36.346, 37.728, 38.914, 40.066, 41.28, 42.363, 43.6, 44.722, 46.025, 47.152, 48.145, 49.186, 50.312, 51.528, 52.578, 53.552, 54.477, 55.777, 57.05, 58.256, 59.464, 60.616, 61.738, 62.873, 63.985, 65.176, 66.475, 67.68, 68.85, 70.063, 71.32, 72.777, 74.128, 75.48, 76.794, 78.036, 79.45, 80.769, 82.001, 83.154, 84.256, 85.295, 86.664, 88.048, 89.381, 90.488, 91.656, 92.992, 94.192, 95.992, 97.112, 98.233, 99.37, 100.296, 101.594, 102.809, 104.2, 105.76, 107.288, 109.185, 110.351, 111.753, 112.967, 114.218, 115.424, 116.431, 117.562, 118.873, 120.211, 121.289, 122.597, 124.115, 125.201, 126.601, 128.257, 129.466, 130.623, 132.002, 133.313, 134.439, 135.575, 136.775, 138.025, 139.347, 140.553, 141.639, 142.983, 144.367, 145.728, 146.864, 148.162, 149.291, 150.559, 151.775, 152.864, 154.031, 155.215, 156.616, 157.994, 159.317]","[665, 719, 502, 553, 608, 768, 833, 893, 951, 1030, 1085, 1142, 1198, 1254, 1314, 1372, 1418, 1475, 1527, 1574, 1634, 1698, 1754, 1817, 1886, 1946, 2003, 2064, 2118, 2180, 2236, 2301, 2358, 2407, 2459, 2516, 2576, 2629, 2678, 2724, 2789, 2852, 2913, 2973, 3031, 3087, 3144, 3199, 3259, 3324, 3384, 3442, 3503, 3566, 3639, 3706, 3774, 3840, 3902, 3972, 4038, 4100, 4158, 4213, 4265, 4333, 4402, 4469, 4524, 4583, 4650, 4710, 4800, 4856, 4912, 4968, 5015, 5080, 5140, 5210, 5288, 5364, 5459, 5518, 5588, 5648, 5711, 5771, 5822, 5878, 5944, 6011, 6064, 6130, 6206, 6260, 6330, 6413, 6473, 6531, 6600, 6666, 6722, 6779, 6839, 6901, 6967, 7028, 7082, 7149, 7218, 7286, 7343, 7408, 7465, 7528, 7589, 7643, 7702, 7761, 7831, 7900, 7966]","[[9.98142, 160.26355]]","[[499, 8013]]"
06_03_05,83.72,50,"[8.11, 9.191, 9.798, 10.583, 11.358, 12.016, 12.799, 13.527, 14.197, 15.014, 15.887, 16.735, 17.551, 18.222, 19.102, 19.982, 20.861, 21.774, 22.574, 23.463, 25.022, 25.909, 27.022, 31.294, 32.143, 32.91, 33.782, 34.68, 35.631, 36.42, 37.318, 38.311, 39.077, 40.038, 40.993, 41.629, 42.566, 43.503, 44.445, 45.493, 46.439]","[406, 460, 490, 529, 568, 601, 640, 676, 710, 751, 794, 837, 878, 911, 955, 999, 1043, 1089, 1129, 1173, 1251, 1295, 1351, 1565, 1607, 1645, 1689, 1734, 1782, 1821, 1866, 1916, 1954, 2002, 2050, 2081, 2128, 2175, 2222, 2275, 2322]","[[8.08559, 28.00271], [31.241, 47.50339]]","[[404, 1400], [1562, 2375]]"
06_04_01,181.14,50,"[18.482, 19.194, 20.192, 21.376, 23.191, 29.611, 30.338, 31.307, 33.611, 34.352, 37.182, 37.808, 40.882, 41.256, 42.362, 62.94, 63.491, 64.275, 65.448, 67.095, 68.17, 69.322, 71.632, 72.704, 74.408, 75.176, 76.072, 77.203, 78.522, 79.572, 80.96, 82.353, 83.753, 84.986, 86.832, 88.148, 89.314, 90.744, 92.722, 93.923, 95.416, 102.6, 103.147, 103.842, 105.072, 106.146, 107.42, 110.16, 110.912, 111.69, 113.554, 115.248, 116.136, 117.611, 118.936, 120.337, 122.148, 123.451, 125.176, 126.193, 127.523, 128.578, 130.266, 131.416, 132.33, 133.577, 134.644, 136.303, 138.457, 139.635, 140.21, 141.361, 142.402, 144.28, 146.962, 147.497, 147.921, 149.232, 151.568, 152.625, 154.649, 155.944, 157.313, 158.445, 160.01, 161.449, 162.657, 164.245, 165.545, 166.691, 167.763, 169.129, 170.752, 171.633, 172.577, 173.488, 174.528, 175.592, 176.506, 177.455, 178.489, 179.585, 180.784]","[924, 960, 1010, 1069, 1160, 1481, 1517, 1565, 1681, 1718, 1859, 1890, 2044, 2063, 2118, 3147, 3175, 3214, 3272, 3355, 3408, 3466, 3582, 3635, 3720, 3759, 3804, 3860, 3926, 3979, 4048, 4118, 4188, 4249, 4342, 4407, 4466, 4537, 4636, 4696, 4771, 5130, 5157, 5192, 5254, 5307, 5371, 5508, 5546, 5584, 5678, 5762, 5807, 5881, 5947, 6017, 6107, 6173, 6259, 6310, 6376, 6429, 6513, 6571, 6617, 6679, 6732, 6815, 6923, 6982, 7010, 7068, 7120, 7214, 7348, 7375, 7396, 7462, 7578, 7631, 7732, 7797, 7866, 7922, 8000, 8072, 8133, 8212, 8277, 8335, 8388, 8456, 8538, 8582, 8629, 8674, 8726, 8780, 8825, 8873, 8924, 8979, 9039]","[[15.624, 24.19089], [29.28464, 43.40964], [62.59237, 96.50903], [102.082, 180.88855]]","[[781, 1210], [1464, 2170], [3130, 4825], [5104, 9044]]"
06_04_02,88.1,50,"[11.679, 9.853, 10.747, 12.652, 13.987, 15.285, 21.414, 22.406, 23.553, 24.438, 25.69, 26.793, 27.883, 28.931, 30.2, 49.131, 48.13, 50.291, 51.427, 52.666, 54.363, 55.348, 56.482, 57.594, 59.053, 60.285, 61.173, 62.194, 63.406, 64.707, 65.727, 66.978, 68.195, 69.908, 71.122, 72.548, 73.674, 74.722, 75.706, 77.02, 78.258, 79.939, 81.142]","[584, 493, 537, 633, 699, 764, 1071, 1120, 1178, 1222, 1284, 1340, 1394, 1447, 1510, 2457, 2406, 2515, 2571, 2633, 2718, 2767, 2824, 2880, 2953, 3014, 3059, 3110, 3170, 3235, 3286, 3349, 3410, 3495, 3556, 3627, 3684, 3736, 3785, 3851, 3913, 3997, 4057]","[[9.81476, 16.25226], [21.37726, 31.16892], [48.078, 82.11101]]","[[491, 813], [1069, 1558], [2404, 4106]]"
06_04_03,123.22,50,"[7.96, 6.23, 7.362, 9.501, 21.347, 19.594, 20.536, 22.38, 33.891, 34.74, 35.777, 36.944, 38.144, 39.16, 40.264, 41.29, 42.504, 43.529, 44.824, 46.12, 47.249, 48.4, 49.706, 50.856, 52.04, 53.392, 54.464, 55.376, 56.399, 57.728, 58.977, 60.096, 61.184, 62.168, 63.065, 63.919, 64.988, 66.12, 67.088, 67.96, 68.794, 69.816, 70.888, 72.146, 73.144, 73.938, 74.626, 75.472, 76.44, 77.272, 78.051, 79.138, 80.136, 81.099, 82.066, 83.32, 84.161, 85.096, 86.576, 87.562, 88.602, 89.633, 90.513, 91.393, 92.383, 93.415, 94.585, 95.68, 96.626, 97.716, 99.103, 100.32, 101.84, 102.988, 104.279]","[398, 312, 368, 475, 1067, 980, 1027, 1119, 1695, 1737, 1789, 1847, 1907, 1958, 2013, 2064, 2125, 2176, 2241, 2306, 2362, 2420, 2485, 2543, 2602, 2670, 2723, 2769, 2820, 2886, 2949, 3005, 3059, 3108, 3153, 3196, 3249, 3306, 3354, 3398, 3440, 3491, 3544, 3607, 3657, 3697, 3731, 3774, 3822, 3864, 3903, 3957, 4007, 4055, 4103, 4166, 4208, 4255, 4329, 4378, 4430, 4482, 4526, 4570, 4619, 4671, 4729, 4784, 4831, 4886, 4955, 5016, 5092, 5149, 5214]","[[6.187, 10.48142], [19.566, 23.39809], [33.8, 105.34237]]","[[309, 524], [978, 1170], [1690, 5267]]"
06_04_04,157.16,50,"[6.472, 7.64, 9.121, 10.48, 12.026, 13.2, 14.202, 15.465, 16.686, 17.68, 18.746, 19.76, 20.667, 21.601, 22.652, 23.872, 25.232, 26.172, 27.264, 28.24, 29.328, 30.377, 31.432, 32.529, 33.57, 34.595, 35.618, 36.499, 37.435, 38.576, 39.76, 40.626, 41.808, 42.776, 43.56, 44.808, 45.792, 46.976, 47.947, 48.936, 50.056, 51.2, 52.265, 53.265, 54.144, 55.271, 56.56, 57.578, 58.792, 59.898, 60.896, 61.881, 62.999, 64.369, 65.272, 66.472, 67.513, 68.697, 69.504, 70.826, 72.136, 73.472, 74.497, 75.523, 85.349, 86.314, 84.791, 87.362, 88.437, 89.461, 90.48, 91.398, 92.496, 93.607, 94.477, 95.639, 96.525, 97.389, 98.421, 99.541, 100.548, 101.642, 102.797, 103.976, 105.02, 106.013, 107.157, 108.317, 109.733, 116.642, 117.861, 119.133, 120.958, 122.221, 123.453, 124.689, 125.948, 126.952, 128.252, 129.244, 130.381, 131.38, 132.421, 133.501, 134.5, 135.477, 136.548, 137.732, 138.951, 140.004, 141.165, 142.366, 143.524, 144.599, 145.812, 147.044, 148.028, 149.157, 150.093]","[324, 382, 456, 524, 601, 660, 710, 773, 834, 884, 937, 988, 1033, 1080, 1133, 1194, 1262, 1309, 1363, 1412, 1466, 1519, 1572, 1626, 1678, 1730, 1781, 1825, 1872, 1929, 1988, 2031, 2090, 2139, 2178, 2240, 2290, 2349, 2397, 2447, 2503, 2560, 2613, 2663, 2707, 2764, 2828, 2879, 2940, 2995, 3045, 3094, 3150, 3218, 3264, 3324, 3376, 3435, 3475, 3541, 3607, 3674, 3725, 3776, 4267, 4316, 4240, 4368, 4422, 4473, 4524, 4570, 4625, 4680, 4724, 4782, 4826, 4869, 4921, 4977, 5027, 5082, 5140, 5199, 5251, 5301, 5358, 5416, 5487, 5832, 5893, 5957, 6048, 6111, 6173, 6234, 6297, 6348, 6413, 6462, 6519, 6569, 6621, 6675, 6725, 6774, 6827, 6887, 6948, 7000, 7058, 7118, 7176, 7230, 7291, 7352, 7401, 7458, 7505]","[[6.473, 76.50677], [84.618, 110.75903], [116.434, 151.13855]]","[[324, 3825], [4231, 5538], [5822, 7557]]"
06_04_05,126.1,50,"[8.93, 9.3, 9.778, 10.506, 11.272, 12.002, 12.839, 32.176, 32.68, 33.257, 33.82, 34.547, 35.218, 35.898, 36.691, 37.347, 38.098, 38.809, 39.384, 40.355, 41.538, 42.092, 42.858, 43.555, 44.5, 45.276, 46.098, 46.884, 47.794, 48.78, 49.514, 50.153, 50.875, 51.507, 52.242, 53.089, 53.948, 54.738, 55.578, 56.458, 57.077, 57.722, 58.546, 59.436, 60.201, 60.909, 61.602, 62.363, 63.226, 64.113, 64.929, 65.635, 66.317, 66.906, 67.769, 68.649, 69.323, 69.949, 70.57, 71.588, 72.669, 73.731, 74.649, 76.408, 77.129, 77.891, 78.636, 79.458, 80.897, 81.649, 82.329, 83.269, 84.295, 85.112, 85.806, 86.48, 87.678, 88.446, 89.253, 90.159, 91.103, 91.941, 92.574, 93.208, 94.005, 94.704, 95.305, 96.094, 96.814, 97.518, 98.486, 99.248, 100.097, 100.685, 101.629, 102.501, 103.269, 104.182, 104.878, 105.678, 106.239, 107.168, 108.092, 109.46, 110.487, 111.255, 111.996, 112.831, 114.063, 115.214, 116.334, 117.591]","[446, 465, 489, 525, 564, 600, 642, 1609, 1634, 1663, 1691, 1727, 1761, 1795, 1835, 1867, 1905, 1940, 1969, 2018, 2077, 2105, 2143, 2178, 2225, 2264, 2305, 2344, 2390, 2439, 2476, 2508, 2544, 2575, 2612, 2654, 2697, 2737, 2779, 2823, 2854, 2886, 2927, 2972, 3010, 3045, 3080, 3118, 3161, 3206, 3246, 3282, 3316, 3345, 3388, 3432, 3466, 3497, 3528, 3579, 3633, 3687, 3732, 3820, 3856, 3895, 3932, 3973, 4045, 4082, 4116, 4163, 4215, 4256, 4290, 4324, 4384, 4422, 4463, 4508, 4555, 4597, 4629, 4660, 4700, 4735, 4765, 4805, 4841, 4876, 4924, 4962, 5005, 5034, 5081, 5125, 5163, 5209, 5244, 5284, 5312, 5358, 5405, 5473, 5524, 5563, 5600, 5642, 5703, 5761, 5817, 5880]","[[8.85642, 13.85642], [32.15542, 118.6757]]","[[443, 693], [1608, 5934]]"
07_01_01,36.64,50,"[6.06, 6.451, 7.294, 9.642, 10.258, 11.796, 16.379, 17.59, 18.5, 19.516, 20.468, 21.723, 22.82, 23.795, 24.798, 25.916, 27.02, 28.226, 29.645]","[303, 323, 365, 482, 513, 590, 819, 880, 925, 976, 1023, 1086, 1141, 1190, 1240, 1296, 1351, 1411, 1482]","[[5.761, 12.79392], [16.2, 30.75246]]","[[288, 640], [810, 1538]]"
07_01_02,20.1,50,[],[],[],[]
07_01_03,18.62,50,[],[],[],[]
07_01_04,17.46,50,[],[],[],[]
07_01_05,12.78,50,[],[],[],[]
07_02_01,34.66,50,"[2.952, 3.907, 4.772, 5.515, 6.923, 7.82, 9.243, 11.684, 12.421, 15.54, 16.413, 17.372, 18.82, 21.058, 21.45, 22.773, 24.748, 25.659, 27.043, 28.434]","[148, 195, 239, 276, 346, 391, 462, 584, 621, 777, 821, 869, 941, 1053, 1072, 1139, 1237, 1283, 1352, 1422]","[[2.779, 29.43976]]","[[139, 1472]]"
07_02_02,22.04,50,"[3.901, 4.894, 9.068, 9.751, 8.38, 11.933, 11.047, 13.879, 13.05, 3.002]","[195, 245, 453, 488, 419, 597, 552, 694, 652, 150]","[[2.96059, 5.89809], [8.33559, 14.89809]]","[[148, 295], [417, 745]]"
07_02_03,17.32,50,[],[],[],[]
07_02_04,14.32,50,"[3.402, 4.154, 5.088, 6.001, 6.811]","[170, 208, 254, 300, 341]","[[3.37726, 7.77309]]","[[169, 389]]"
07_02_05,13.42,50,"[1.667, 2.38, 3.429, 4.302, 0.813]","[83, 119, 171, 215, 41]","[[0.763, 5.31476]]","[[38, 266]]"
07_03_01,181.16,50,"[7.399, 7.838, 8.433, 9.79, 11.199, 12.526, 31.751, 32.174, 33.753, 35.24, 36.696, 40.288, 41.551, 46.384, 47.126, 47.574, 48.888, 50.322, 51.375, 52.67, 54.408, 64.143, 64.952, 66.039, 67.558, 68.568, 70.198, 71.481, 72.606, 74.318, 75.8, 77.039, 78.247, 79.191, 80.262, 81.601, 82.791, 83.895, 85.255, 86.903, 88.064, 89.399, 91.128, 93.102, 94.102, 95.728, 97.432, 98.873, 100.007, 101.409, 103.454, 104.422, 105.48, 106.416, 107.199, 108.205, 109.15, 110.166, 111.079, 111.849, 112.821, 113.654, 114.583, 115.855, 117.35, 118.366, 119.649, 120.895, 122.544, 123.582, 124.767, 125.638, 126.664, 127.606, 128.533, 129.625, 131.006, 132.447, 133.414, 134.496, 135.424, 136.399, 137.117, 138.016, 138.974, 139.759, 140.862, 142.363, 145.599, 146.463, 147.952, 149.551, 150.863, 153.513, 154.855, 156.367, 157.593, 158.854, 159.833, 161.317, 162.399, 163.495, 164.819, 165.752, 166.678, 167.727, 168.798, 169.901, 170.944, 172.101, 173.238, 174.342, 175.32, 177.705, 178.632, 179.367, 180.451, 3.284, 4.025, 5.28, 6.563]","[370, 392, 422, 489, 560, 626, 1588, 1609, 1688, 1762, 1835, 2014, 2078, 2319, 2356, 2379, 2444, 2516, 2569, 2634, 2720, 3207, 3248, 3302, 3378, 3428, 3510, 3574, 3630, 3716, 3790, 3852, 3912, 3960, 4013, 4080, 4140, 4195, 4263, 4345, 4403, 4470, 4556, 4655, 4705, 4786, 4872, 4944, 5000, 5070, 5173, 5221, 5274, 5321, 5360, 5410, 5458, 5508, 5554, 5592, 5641, 5683, 5729, 5793, 5868, 5918, 5982, 6045, 6127, 6179, 6238, 6282, 6333, 6380, 6427, 6481, 6550, 6622, 6671, 6725, 6771, 6820, 6856, 6901, 6949, 6988, 7043, 7118, 7280, 7323, 7398, 7478, 7543, 7676, 7743, 7818, 7880, 7943, 7992, 8066, 8120, 8175, 8241, 8288, 8334, 8386, 8440, 8495, 8547, 8605, 8662, 8717, 8766, 8885, 8932, 8968, 9023, 164, 201, 264, 328]","[[3.21059, 13.56476], [31.50542, 55.45542], [63.476, 181.01355]]","[[161, 678], [1575, 2773], [3174, 9051]]"
07_03_02,67.6,50,"[22.584, 23.694, 21.259, 20.418, 27.213, 28.131, 29.019, 30.021, 31.052, 32.163, 33.401, 34.459, 35.476, 36.571, 37.571, 38.618, 39.427, 40.22, 41.275, 42.412, 43.576]","[1129, 1185, 1063, 1021, 1361, 1407, 1451, 1501, 1553, 1608, 1670, 1723, 1774, 1829, 1879, 1931, 1971, 2011, 2064, 2121, 2179]","[[20.412, 24.67771], [27.17771, 44.65964]]","[[1021, 1234], [1359, 2233]]"
07_03_03,43.46,50,"[12.853, 15.619, 14.214, 16.838, 18.255, 19.566, 28.093, 29.19, 30.32]","[643, 781, 711, 842, 913, 978, 1405, 1460, 1516]","[[12.79392, 20.56476], [28.06476, 31.33559]]","[[640, 1028], [1403, 1567]]"
07_03_04,41.78,50,[],[],[],[]
07_03_05,30.56,50,[],[],[],[]
07_04_01,181.02,50,"[6.165, 6.514, 7.152, 7.786, 8.787, 9.912, 11.009, 12.129, 20.873, 21.49, 21.995, 22.955, 23.769, 24.946, 26.138, 27.418, 28.37, 29.483, 30.465, 31.73, 34.985, 35.814, 38.682, 39.72, 41.067, 42.113, 56.771, 57.491, 59.193, 60.983, 62.041, 62.797, 63.929, 64.937, 65.96, 66.731, 67.45, 68.528, 69.744, 70.904, 71.666, 72.528, 73.33, 74.361, 75.728, 76.616, 77.633, 78.611, 79.664, 81.192, 82.298, 83.976, 85.097, 86.279, 87.264, 88.25, 89.427, 90.792, 91.758, 92.729, 109.265, 109.538, 110.088, 110.866, 111.682, 112.521, 113.553, 114.439, 115.593, 116.575, 117.792, 119.02, 119.802, 120.745, 121.743, 122.691, 123.64, 124.802, 125.817, 126.745, 127.85, 128.857, 129.929, 130.793, 131.866, 133.007, 133.937, 134.986, 136.01, 136.858, 137.864, 140.648, 141.514, 142.376, 142.914, 144.826, 146.416, 149.154, 150.138, 152.039, 153.194, 153.92, 154.914, 156.208, 157.298, 158.082, 158.935, 160.058, 161.13, 162.41, 163.632, 164.948, 166.083, 167.29, 168.856, 171.373, 172.449, 174.258, 175.609, 176.72, 177.678, 179.024, 179.83]","[308, 326, 358, 389, 439, 496, 550, 606, 1044, 1074, 1100, 1148, 1188, 1247, 1307, 1371, 1418, 1474, 1523, 1586, 1749, 1791, 1934, 1986, 2053, 2106, 2839, 2875, 2960, 3049, 3102, 3140, 3196, 3247, 3298, 3337, 3372, 3426, 3487, 3545, 3583, 3626, 3666, 3718, 3786, 3831, 3882, 3931, 3983, 4060, 4115, 4199, 4255, 4314, 4363, 4412, 4471, 4540, 4588, 4636, 5463, 5477, 5504, 5543, 5584, 5626, 5678, 5722, 5780, 5829, 5890, 5951, 5990, 6037, 6087, 6135, 6182, 6240, 6291, 6337, 6392, 6443, 6496, 6540, 6593, 6650, 6697, 6749, 6800, 6843, 6893, 7032, 7076, 7119, 7146, 7241, 7321, 7458, 7507, 7602, 7660, 7696, 7746, 7810, 7865, 7904, 7947, 8003, 8056, 8120, 8182, 8247, 8304, 8364, 8443, 8569, 8622, 8713, 8780, 8836, 8884, 8951, 8992]","[[6.066, 13.08634], [20.62952, 43.17118], [56.714, 93.81927], [109.098, 180.76355]]","[[303, 654], [1031, 2159], [2836, 4691], [5455, 9038]]"
07_04_02,155.54,50,"[2.887, 4.263, 5.438, 6.527, 0.96, 1.775, 7.777, 9.303, 10.528, 11.578, 12.802, 13.921, 15.082, 16.109, 17.09, 18.146, 19.193, 20.505, 21.645, 22.828, 23.92, 25.732, 26.731, 27.872, 29.098, 30.138, 31.433, 32.617, 33.522, 34.474, 35.493, 36.593, 37.784, 38.949, 40.082, 41.304, 42.351, 43.648, 44.704, 45.836, 46.941, 55.987, 57.196, 58.388, 59.823, 60.877, 62.093, 63.283, 64.395, 65.403, 67.019, 68.163, 69.598, 70.692, 71.968, 73.388, 74.485, 75.638, 77.02, 78.038, 79.341, 80.563, 81.531, 82.546, 83.788, 84.803, 86.183, 87.475, 88.709, 89.9, 90.964, 92.11, 93.147, 94.549, 95.541, 96.74, 97.915, 99.11, 100.235, 101.371, 102.731, 103.891, 105.003, 106.182, 107.289, 109.086, 110.275, 111.627, 112.722, 113.956, 115.147, 116.509, 117.844, 119.124, 120.284, 121.386, 122.522, 123.733, 124.787, 125.635, 126.547, 127.836, 128.979, 130.059, 131.415, 132.532, 133.804, 135.099, 136.429, 137.597, 138.683, 139.949, 141.243, 142.42]","[144, 213, 272, 326, 48, 89, 389, 465, 526, 579, 640, 696, 754, 805, 854, 907, 960, 1025, 1082, 1141, 1196, 1287, 1337, 1394, 1455, 1507, 1572, 1631, 1676, 1724, 1775, 1830, 1889, 1947, 2004, 2065, 2118, 2182, 2235, 2292, 2347, 2799, 2860, 2919, 2991, 3044, 3105, 3164, 3220, 3270, 3351, 3408, 3480, 3535, 3598, 3669, 3724, 3782, 3851, 3902, 3967, 4028, 4077, 4127, 4189, 4240, 4309, 4374, 4435, 4495, 4548, 4606, 4657, 4727, 4777, 4837, 4896, 4956, 5012, 5069, 5137, 5195, 5250, 5309, 5364, 5454, 5514, 5581, 5636, 5698, 5757, 5825, 5892, 5956, 6014, 6069, 6126, 6187, 6239, 6282, 6327, 6392, 6449, 6503, 6571, 6627, 6690, 6755, 6821, 6880, 6934, 6997, 7062, 7121]","[[0.91892, 48.00339], [55.90964, 143.4257]]","[[46, 2400], [2795, 7171]]"
07_04_03,56.08,50,"[12.392, 13.694, 14.839, 16.135, 17.55, 18.51, 19.646, 20.733, 21.798, 22.868, 23.942, 25.166, 26.59]","[620, 685, 742, 807, 878, 926, 982, 1037, 1090, 1143, 1197, 1258, 1330]","[[12.3, 27.62726]]","[[615, 1381]]"
07_04_04,35.9,50,"[2.315, 3.261, 4.451, 5.558]","[116, 163, 223, 278]","[[2.263, 6.58559]]","[[113, 329]]"
07_04_05,42.66,50,"[33.212, 33.652, 34.294, 34.937, 35.597, 36.547, 32.135]","[1661, 1683, 1715, 1747, 1780, 1827, 1607]","[[32.008, 37.53079]]","[[1600, 1877]]"
08_01_01,177.56,50,"[12.794, 13.955, 15.117, 16.013, 17.229, 20.286, 20.57, 21.169, 22.269, 23.706, 24.682, 25.655, 32.676, 33.036, 33.8, 34.885, 36.242, 37.364, 38.412, 39.738, 40.893, 41.81, 42.698, 43.574, 45.525, 46.492, 48.444, 49.499, 50.669, 51.724, 52.85, 54.106, 55.092, 56.108, 57.036, 59.125, 59.991, 60.826, 61.748, 63.084, 64.004, 65.082, 66.476, 67.588, 68.749, 69.917, 71.212, 72.889, 73.805, 74.709, 75.612, 76.412, 77.132, 78.252, 79.093, 80.682, 81.733, 85.506, 86.325, 87.205, 88.086, 90.006, 91.364, 92.243, 93.561, 94.498, 95.259, 96.478, 97.251, 98.604, 99.414, 100.798, 101.628, 102.426, 103.187, 104.468, 105.525, 106.596, 107.66, 108.963, 110.33, 111.38, 113.818, 114.82, 115.836, 117.029, 118.22, 119.42, 121.004, 122.373, 123.538, 128.492, 128.852, 129.229, 129.765, 130.924, 132.587, 139.453, 139.733, 140.138, 141.221, 142.461, 149.252, 149.498, 150.203, 150.988, 157.164, 157.795, 158.886, 160.196, 161.828, 162.916, 164.082, 165.116, 166.133, 167.243, 168.201, 169.069, 170.62]","[640, 698, 756, 801, 861, 1014, 1028, 1058, 1113, 1185, 1234, 1283, 1634, 1652, 1690, 1744, 1812, 1868, 1921, 1987, 2045, 2090, 2135, 2179, 2276, 2325, 2422, 2475, 2533, 2586, 2642, 2705, 2755, 2805, 2852, 2956, 3000, 3041, 3087, 3154, 3200, 3254, 3324, 3379, 3437, 3496, 3561, 3644, 3690, 3735, 3781, 3821, 3857, 3913, 3955, 4034, 4087, 4275, 4316, 4360, 4404, 4500, 4568, 4612, 4678, 4725, 4763, 4824, 4863, 4930, 4971, 5040, 5081, 5121, 5159, 5223, 5276, 5330, 5383, 5448, 5516, 5569, 5691, 5741, 5792, 5851, 5911, 5971, 6050, 6119, 6177, 6425, 6443, 6461, 6488, 6546, 6629, 6973, 6987, 7007, 7061, 7123, 7463, 7475, 7510, 7549, 7858, 7890, 7944, 8010, 8091, 8146, 8204, 8256, 8307, 8362, 8410, 8453, 8531]","[[12.50246, 26.63883], [32.568, 124.59237], [127.54618, 133.71285], [138.441, 143.54618], [146.87952, 152.04618], [156.964, 171.62952]]","[[625, 1332], [1628, 6230], [6377, 6686], [6922, 7177], [7344, 7602], [7848, 8581]]"
08_01_02,37.14,50,"[6.139, 4.749, 7.302, 8.446, 9.868, 13.671, 11.051, 12.347, 14.763, 15.971, 17.185, 18.236, 19.436, 20.514, 25.078, 26.006, 27.3, 23.672]","[307, 237, 365, 422, 493, 684, 553, 617, 738, 799, 859, 912, 972, 1026, 1254, 1300, 1365, 1184]","[[4.71059, 21.54392], [23.656, 28.29392]]","[[236, 1077], [1183, 1415]]"
08_01_03,41.78,50,"[10.743, 8.016, 7.109, 9.242, 12.032, 13.264, 14.114, 19.251, 15.321, 16.64, 17.799, 20.463, 30.861, 28.983, 30.041, 31.943, 33.202, 34.249, 35.407, 36.543, 37.801, 39.091, 40.728]","[537, 401, 355, 462, 602, 663, 706, 963, 766, 832, 890, 1023, 1543, 1449, 1502, 1597, 1660, 1712, 1770, 1827, 1890, 1955, 2036]","[[7.04392, 21.48142], [29.003, 41.72523]]","[[352, 1074], [1450, 2086]]"
08_01_04,38.88,50,"[6.094, 7.232, 8.246, 9.382, 10.367, 11.351, 12.279, 13.246, 14.487, 15.695, 16.751, 17.718, 18.702, 19.863, 21.494, 22.511, 23.624, 24.703, 25.981, 27.111, 27.895, 28.871, 32.605, 33.917, 30.612, 35.156]","[305, 362, 412, 469, 518, 568, 614, 662, 724, 785, 838, 886, 935, 993, 1075, 1126, 1181, 1235, 1299, 1356, 1395, 1444, 1630, 1696, 1531, 1758]","[[6.02309, 36.16968]]","[[301, 1808]]"
08_01_05,34.52,50,"[4.816, 5.224, 5.997, 7.208, 7.906, 8.768, 9.441, 10.194, 11.144, 11.81, 12.787, 13.546, 14.591, 15.41, 16.216, 16.943, 17.979, 19.061, 19.826, 20.524, 21.308, 22.186, 22.896, 23.973, 24.9]","[241, 261, 300, 360, 395, 438, 472, 510, 557, 590, 639, 677, 730, 770, 811, 847, 899, 953, 991, 1026, 1065, 1109, 1145, 1199, 1245]","[[4.79392, 25.93976]]","[[240, 1297]]"
